time,voltage,current,power,pwm,running,stop_reason
10.927,0.843,0.000,0.000,0,0,1
11.032,0.819,0.000,0.000,0,0,1
11.135,0.835,0.000,0.000,0,0,1
11.240,0.835,0.000,0.000,0,0,1
11.344,0.844,0.000,0.000,0,0,1
11.448,0.843,0.000,0.000,0,0,1
11.552,0.836,0.000,0.000,0,0,1
11.656,0.849,0.000,0.000,0,0,1
11.760,0.847,0.000,0.000,0,0,1
11.864,0.837,0.000,0.000,0,0,1
11.969,0.836,0.000,0.000,0,0,1
12.072,0.841,0.000,0.000,0,0,1
12.177,0.857,0.000,0.000,0,0,1
12.281,0.839,0.000,0.000,0,0,1
12.385,0.845,0.000,0.000,0,0,1
12.489,0.838,0.000,0.000,0,0,1
12.593,0.846,0.000,0.000,0,0,1
12.697,0.854,0.000,0.000,0,0,1
12.801,0.850,0.000,0.000,0,0,1
12.906,0.839,0.000,0.000,0,0,1
13.009,0.861,0.000,0.000,0,0,1
13.114,1.075,0.000,0.000,0,0,1
13.218,1.344,0.000,0.000,0,0,1
13.322,1.343,0.000,0.000,0,0,1
13.426,1.342,0.000,0.000,0,0,1
13.530,1.345,0.000,0.000,0,0,1
13.634,1.344,0.000,0.000,0,0,1
13.738,1.348,0.000,0.000,0,0,1
13.843,1.345,0.000,0.000,0,0,1
13.947,1.346,0.000,0.000,0,0,1
14.051,1.344,0.000,0.000,0,0,1
14.155,1.344,0.000,0.000,0,0,1
14.259,1.345,0.000,0.000,0,0,1
14.363,1.344,0.000,0.000,0,0,1
14.467,1.346,0.000,0.000,0,0,1
14.572,1.344,0.000,0.000,0,0,1
14.675,1.344,0.000,0.000,0,0,1
14.780,1.344,0.000,0.000,0,0,1
14.884,1.344,0.000,0.000,0,0,1
14.988,1.346,0.000,0.000,0,0,1
15.092,1.345,0.000,0.000,0,0,1
15.196,1.346,0.000,0.000,0,0,1
15.301,1.342,0.000,0.000,0,0,1
15.404,1.346,0.000,0.000,0,0,1
15.509,1.344,0.000,0.000,0,0,1
15.613,1.344,0.000,0.000,0,0,1
15.717,1.346,0.000,0.000,0,0,1
15.821,1.344,0.000,0.000,0,0,1
15.926,1.345,0.000,0.000,0,0,1
16.029,1.344,0.000,0.000,0,0,1
16.133,1.344,0.000,0.000,0,0,1
16.238,1.342,0.000,0.000,0,0,1
16.342,1.344,0.000,0.000,0,0,1
16.446,1.345,0.000,0.000,0,0,1
16.550,1.344,0.000,0.000,0,0,1
16.655,1.345,0.000,0.000,0,0,1
16.758,1.344,0.000,0.000,0,0,1
16.863,1.346,0.000,0.000,0,0,1
16.967,1.344,0.000,0.000,0,0,1
17.070,1.345,0.000,0.000,0,0,1
17.175,1.343,0.000,0.000,0,0,1
17.279,1.344,0.000,0.000,0,0,1
17.383,1.343,0.000,0.000,0,0,1
17.487,1.344,0.000,0.000,0,0,1
17.592,1.342,0.000,0.000,0,0,1
17.696,1.346,0.000,0.000,0,0,1
17.799,1.344,0.000,0.000,0,0,1
17.904,1.346,0.000,0.000,0,0,1
18.008,1.345,0.000,0.000,0,0,1
18.112,1.345,0.000,0.000,0,0,1
18.216,1.343,0.000,0.000,0,0,1
18.321,1.343,0.000,0.000,0,0,1
18.424,1.343,0.000,0.000,0,0,1
18.529,1.346,0.000,0.000,0,0,1
18.633,1.343,0.000,0.000,0,0,1
18.737,1.344,0.000,0.000,0,0,1
18.841,1.345,0.000,0.000,0,0,1
18.945,1.345,0.000,0.000,0,0,1
19.050,1.346,0.000,0.000,0,0,1
19.153,1.342,0.000,0.000,0,0,1
19.258,1.342,0.000,0.000,0,0,1
19.362,1.342,0.000,0.000,0,0,1
19.466,1.346,0.000,0.000,0,0,1
19.570,1.345,0.000,0.000,0,0,1
19.674,1.344,0.000,0.000,0,0,1
19.778,1.346,0.000,0.000,0,0,1
19.882,1.346,0.000,0.000,0,0,1
19.987,1.344,0.000,0.000,0,0,1
20.091,1.341,0.000,0.000,0,0,1
20.195,1.344,0.000,0.000,0,0,1
20.299,1.345,0.000,0.000,0,0,1
20.403,1.346,0.000,0.000,0,0,1
20.507,1.344,0.000,0.000,0,0,1
20.611,1.344,0.000,0.000,0,0,1
20.716,1.345,0.000,0.000,0,0,1
20.819,1.344,0.000,0.000,0,0,1
20.924,1.343,0.000,0.000,0,0,1
21.028,1.343,0.000,0.000,0,0,1
21.133,1.344,0.000,0.000,0,0,1
21.236,1.345,0.000,0.000,0,0,1
21.340,1.342,0.000,0.000,0,0,1
21.445,1.341,0.000,0.000,0,0,1
21.548,1.343,0.000,0.000,0,0,1
21.653,1.340,0.000,0.000,0,0,1
21.757,1.338,0.000,0.000,0,0,1
21.861,1.341,0.000,0.000,0,0,1
21.965,1.341,0.000,0.000,0,0,1
22.070,1.342,0.000,0.000,0,0,1
22.173,1.340,0.000,0.000,0,0,1
22.277,1.339,0.000,0.000,0,0,1
22.382,1.341,0.000,0.000,0,0,1
22.486,1.339,0.000,0.000,0,0,1
22.590,1.337,0.000,0.000,0,0,1
22.694,1.333,0.000,0.000,0,0,1
22.799,1.333,0.000,0.000,0,0,1
22.902,1.338,0.000,0.000,0,0,1
23.007,1.340,0.000,0.000,0,0,1
23.111,1.338,0.000,0.000,0,0,1
23.214,1.338,0.000,0.000,0,0,1
23.319,1.340,0.000,0.000,0,0,1
23.423,1.340,0.000,0.000,0,0,1
23.527,1.340,0.000,0.000,0,0,1
23.631,1.337,0.000,0.000,0,0,1
23.736,1.340,0.000,0.000,0,0,1
23.840,1.341,0.000,0.000,0,0,1
23.943,1.338,0.000,0.000,0,0,1
24.048,1.339,0.000,0.000,0,0,1
24.152,1.339,0.000,0.000,0,0,1
24.256,1.338,0.000,0.000,0,0,1
24.360,1.341,0.000,0.000,0,0,1
24.465,1.341,0.000,0.000,0,0,1
24.568,1.335,0.000,0.000,0,0,1
24.673,1.337,0.000,0.000,0,0,1
24.777,1.338,0.000,0.000,0,0,1
24.880,1.338,0.000,0.000,0,0,1
24.985,1.336,0.000,0.000,0,0,1
25.089,1.334,0.000,0.000,0,0,1
25.193,1.336,0.000,0.000,0,0,1
25.297,1.334,0.000,0.000,0,0,1
25.402,1.339,0.000,0.000,0,0,1
25.506,1.338,0.000,0.000,0,0,1
25.610,1.338,0.000,0.000,0,0,1
25.714,1.338,0.000,0.000,0,0,1
25.818,1.335,0.000,0.000,0,0,1
25.922,1.334,0.000,0.000,0,0,1
26.026,1.334,0.000,0.000,0,0,1
26.131,1.334,0.000,0.000,0,0,1
26.234,1.330,0.000,0.000,0,0,1
26.339,1.332,0.000,0.000,0,0,1
26.443,1.334,0.000,0.000,0,0,1
26.546,1.333,0.000,0.000,0,0,1
26.651,1.330,0.000,0.000,0,0,1
26.755,1.327,0.000,0.000,0,0,1
26.860,1.327,0.000,0.000,0,0,1
26.963,1.328,0.000,0.000,0,0,1
27.068,1.328,0.000,0.000,0,0,1
27.172,1.328,0.000,0.000,0,0,1
27.276,1.325,0.000,0.000,0,0,1
27.380,1.327,0.000,0.000,0,0,1
27.484,1.326,0.000,0.000,0,0,1
27.588,1.325,0.000,0.000,0,0,1
27.692,1.327,0.000,0.000,0,0,1
27.797,1.333,0.000,0.000,0,0,1
27.900,1.331,0.000,0.000,0,0,1
28.005,1.334,0.000,0.000,0,0,1
28.109,1.330,0.000,0.000,0,0,1
28.214,1.332,0.000,0.000,0,0,1
28.317,1.330,0.000,0.000,0,0,1
28.421,1.330,0.000,0.000,0,0,1
28.526,1.329,0.000,0.000,0,0,1
28.629,1.332,0.000,0.000,0,0,1
28.734,1.329,0.000,0.000,0,0,1
28.838,1.331,0.000,0.000,0,0,1
28.942,1.332,0.000,0.000,0,0,1
29.046,1.333,0.000,0.000,0,0,1
29.151,1.332,0.000,0.000,0,0,1
29.255,1.331,0.000,0.000,0,0,1
29.358,1.333,0.000,0.000,0,0,1
29.463,1.332,0.000,0.000,0,0,1
29.567,1.329,0.000,0.000,0,0,1
29.671,1.331,0.000,0.000,0,0,1
29.775,1.330,0.000,0.000,0,0,1
29.880,1.328,0.000,0.000,0,0,1
29.983,1.331,0.000,0.000,0,0,1
30.087,1.333,0.000,0.000,0,0,1
30.192,1.332,0.000,0.000,0,0,1
30.295,1.328,0.000,0.000,0,0,1
30.400,1.332,0.000,0.000,0,0,1
30.504,1.331,0.000,0.000,0,0,1
30.608,1.333,0.000,0.000,0,0,1
30.712,1.328,0.000,0.000,0,0,1
30.817,1.331,0.000,0.000,0,0,1
30.921,1.332,0.000,0.000,0,0,1
31.024,1.330,0.000,0.000,0,0,1
31.129,1.327,0.000,0.000,0,0,1
31.233,1.328,0.000,0.000,0,0,1
31.337,1.333,0.000,0.000,0,0,1
31.441,1.330,0.000,0.000,0,0,1
31.546,1.331,0.000,0.000,0,0,1
31.649,1.327,0.000,0.000,0,0,1
31.754,1.329,0.000,0.000,0,0,1
31.858,1.328,0.000,0.000,0,0,1
31.962,1.329,0.000,0.000,0,0,1
32.066,1.327,0.000,0.000,0,0,1
32.170,1.328,0.000,0.000,0,0,1
32.275,1.328,0.000,0.000,0,0,1
32.378,1.331,0.000,0.000,0,0,1
32.483,1.331,0.000,0.000,0,0,1
32.587,1.330,0.000,0.000,0,0,1
32.690,1.331,0.000,0.000,0,0,1
32.795,1.333,0.000,0.000,0,0,1
32.899,1.331,0.000,0.000,0,0,1
