ts,acs1,acs2,ci,ti,bi,si,rpm,torque,score
1782175883.8003943,505,389,14,14,123,25.00447420753096,139821,21.8,507.9182486110017
1782175883.8995955,490,512,1,1,0,24.57123301492402,1957500,1.6,6569.731233014923
1782175883.999625,496,513,5,5,1,40.198104823787844,391500,7.8,1365.9347208758486
1782175884.0999336,390,250,101,101,262,39.34057735557026,19381,157.1,128.28731632881681
1782175884.1992018,491,513,0,0,1,39.232089974322065,19575000,0.2,65309.20870602638
1782175884.2995348,500,517,9,9,5,66.3933703630436,217500,14.0,812.5764506233472
1782175884.399882,283,110,208,208,402,53.72737790490412,9411,323.6,120.0170308333206
1782175884.4992127,495,514,4,4,2,53.70878413060782,489375,6.2,1705.4920162347294
1782175884.5995023,501,398,10,10,114,59.39326820997943,195750,15.6,728.5074981449034
1782175884.6998608,255,405,236,236,107,44.672279401129614,8294,367.1,124.3868636382952
1782175884.899559,449,253,42,42,259,44.75448736171718,46607,65.3,215.40471151211483
1782175884.99992,366,477,125,125,35,42.5590544800817,15660,194.4,132.6806163022075
1782175885.1996,130,285,361,361,227,18.358228284236205,5422,561.6,102.74340543535696
1782175885.2999358,442,504,49,49,8,18.672787115532145,39948,76.2,179.10571553201805
1782175885.3992758,464,297,27,27,215,18.56989363741306,72500,42.0,275.1090114971383
1782175885.499647,278,446,213,213,66,13.673610317843384,9190,331.3,94.5736030871854
1782175885.5999825,434,505,57,57,7,14.185801485612728,34342,88.7,157.22544718337122
1782175885.6993315,225,127,266,266,385,6.398100684037644,7359,413.8,75.60528072742159
1782175885.7996254,451,499,40,40,13,6.888066166456298,48937,62.2,195.66740817657922
1782175885.9993072,228,387,263,263,125,0.368852482993276,7442,409.1,80.66252565725213
1782175886.099657,424,509,67,67,3,0.9644227787026267,29216,104.2,128.6409376015515
1782175886.1990004,350,118,141,141,394,0.9615058003539048,13882,219.3,72.07156364561783
1782175886.2993376,419,480,72,72,32,1.3721698054302323,27187,112.0,121.80721680470717
1782175886.3996625,461,514,30,30,2,1.730732734547729,65250,46.7,243.8139648386692
1782175886.4989696,274,266,217,217,246,0,9020,337.6,73.1542154736081
1782175886.5993166,400,499,91,91,13,0.281485058078502,21510,141.6,105.57749373486809
1782175886.699675,472,514,19,19,2,0.6160028531308797,103026,29.6,366.90923495725235
1782175886.798996,291,435,200,200,77,0.07733545942197395,9787,311.1,80.4701048014321
1782175886.8993316,430,510,61,61,2,0.9858090978873832,32090,94.9,137.35570786867552
1782175886.9996939,503,512,12,12,0,1.2921876332869857,163125,18.7,566.912187633287
1782175887.0990446,394,492,97,97,20,2.530893783380435,20180,150.9,104.01988149126186
1782175887.1993861,461,515,30,30,3,3.3854105795150247,65250,46.7,245.4252587356972
1782175887.2996976,497,513,6,6,1,3.4186353378665473,326250,9.3,1111.8052513899274
