ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782180062.281865,505,514,7,7,2,98.27953494659147,29375,100.0,60.0,448,99.55357142857143
1782180062.3812234,507,514,5,5,2,98.32369453857598,29375,100.0,60.0,448,99.55357142857143
1782180062.4813478,506,513,6,6,1,98.31477004536472,29375,100.0,60.0,448,99.77678571428571
1782180062.5817142,504,513,8,8,1,98.21705611729115,29375,100.0,60.0,448,99.77678571428571
1782180062.6809847,504,514,8,8,2,98.18004884070417,29375,100.0,60.0,448,99.55357142857143
1782180062.7813802,506,513,6,6,1,98.17273732351123,29375,100.0,60.0,448,99.77678571428571
1782180062.8817031,507,513,5,5,1,98.20463559873397,29375,100.0,60.0,448,99.77678571428571
1782180062.981236,506,512,6,6,0,98.22987759368644,29375,100.0,60.0,448,100.0
1782180063.0814521,505,514,7,7,2,98.20463559873397,29375,100.0,60.0,448,99.55357142857143
1782180063.1820748,505,513,7,7,1,98.18524565482451,29375,100.0,60.0,448,99.77678571428571
1782180063.281052,506,514,6,6,2,98.35717046261979,29375,100.0,60.0,448,99.55357142857143
1782180063.3817155,506,513,6,6,1,98.37348361349922,29375,100.0,60.0,448,99.77678571428571
1782180063.482436,505,514,7,7,2,98.41500087627084,29375,100.0,60.0,448,99.55357142857143
1782180063.5814342,505,513,7,7,1,98.46920499957267,29375,100.0,60.0,448,99.77678571428571
1782180063.682131,504,513,8,8,1,98.44901465011576,29375,100.0,60.0,448,99.77678571428571
1782180063.782131,505,513,7,7,1,98.5284173296904,29375,100.0,60.0,448,99.77678571428571
1782180063.8816285,506,513,6,6,1,98.63536736730275,29375,100.0,60.0,448,99.77678571428571
1782180063.9817808,504,513,8,8,1,98.64845767115244,29375,100.0,60.0,448,99.77678571428571
1782180064.0824249,505,513,7,7,1,98.7797996521518,29375,100.0,60.0,448,99.77678571428571
1782180064.1815155,507,516,5,5,4,98.91679487938187,29375,100.0,60.0,448,99.10714285714286
1782180064.281783,504,514,8,8,2,99.08045905172442,29375,100.0,60.0,448,99.55357142857143
1782180064.3822412,506,513,6,6,1,99.07864833592765,29375,100.0,60.0,448,99.77678571428571
1782180064.4815001,505,514,7,7,2,99.12060626944847,29375,100.0,60.0,448,99.55357142857143
1782180064.5821028,506,513,6,6,1,99.11745318034176,29375,100.0,60.0,448,99.77678571428571
1782180064.6814024,505,513,7,7,1,99.12060626944847,29375,100.0,60.0,448,99.77678571428571
1782180064.7815495,506,513,6,6,1,99.12060626944847,29375,100.0,60.0,448,99.77678571428571
1782180064.8822277,506,514,6,6,2,99.12060626944847,29375,100.0,60.0,448,99.55357142857143
1782180064.9816456,506,514,6,6,2,99.11745318034176,29375,100.0,60.0,448,99.55357142857143
1782180065.0819426,506,514,6,6,2,99.1155667225719,29375,100.0,60.0,448,99.55357142857143
1782180065.1819234,505,514,7,7,2,99.11745318034176,29375,100.0,60.0,448,99.55357142857143
1782180065.2811909,504,513,8,8,1,99.08348486100883,29375,100.0,60.0,448,99.77678571428571
1782180065.3815978,506,514,6,6,2,99.12503968343955,29375,100.0,60.0,448,99.55357142857143
1782180065.4818616,506,514,6,6,2,99.12503968343955,29375,100.0,60.0,448,99.55357142857143
1782180065.581518,505,514,7,7,2,99.15936531913877,29375,100.0,60.0,448,99.55357142857143
1782180065.6818612,506,514,6,6,2,99.19446360176036,29375,100.0,60.0,448,99.55357142857143
1782180065.7820022,505,513,7,7,1,99.19653528045373,29375,100.0,60.0,448,99.77678571428571
1782180065.8812757,505,514,7,7,2,99.24796572182143,29375,100.0,60.0,448,99.55357142857143
1782180065.9815679,505,515,7,7,3,99.25464400750008,29375,100.0,60.0,448,99.33035714285714
1782180066.0819201,507,514,5,5,2,99.2,29375,100.0,60.0,448,99.55357142857143
1782180066.1812322,506,514,6,6,2,99.19653528045373,29375,100.0,60.0,448,99.55357142857143
1782180066.281766,505,514,7,7,2,99.2,29375,100.0,60.0,448,99.55357142857143
1782180066.3819132,505,514,7,7,2,99.20487597054156,29375,100.0,60.0,448,99.55357142857143
1782180066.4813123,507,514,5,5,2,99.15606740658852,29375,100.0,60.0,448,99.55357142857143
1782180066.5817428,506,514,6,6,2,99.1540948306367,29375,100.0,60.0,448,99.55357142857143
1782180066.6819298,505,514,7,7,2,99.19377422517015,29375,100.0,60.0,448,99.55357142857143
1782180066.7812943,505,514,7,7,2,99.19377422517015,29375,100.0,60.0,448,99.55357142857143
1782180066.8816779,505,514,7,7,2,99.19446360176036,29375,100.0,60.0,448,99.55357142857143
1782180066.9819674,505,513,7,7,1,99.23623738417403,29375,100.0,60.0,448,99.77678571428571
1782180067.0814602,506,513,6,6,1,99.23696512384936,29375,100.0,60.0,448,99.77678571428571
1782180067.1818545,506,513,6,6,1,99.28120471157175,29375,100.0,60.0,448,99.77678571428571
